末代皇帝 The Last Emperor
贝纳尔多·贝托鲁奇
尊龙,陈冲,邬君梅,彼得·奥图尔,英若诚,吴涛,黄自强,丹尼斯·邓恩,坂本龙一,马吉·汉,里克·扬,田川洋行,苟杰德,理查德·吴,皱缇格,陈凯歌,卢燕,区亨利,陈述,鲍皓昕,黄文捷,邵茹贞,亨利·基,张良斌,梁冬,康斯坦丁·格雷戈里,黄汉琪,王涛,宋怀桂,蔡鸿翔,程淑艳,张天民
片长:
"
"
UserName,Watched Already,Comments,Dates,Review_Score,Upvote
光年‖影视歌三栖民工,看过,溥仪登基之初的十六抬大辇，和片末游行时红卫兵扛在肩上的毛泽东像，讽刺意味浓重。感觉导演还想告诉我更多的东西。但我更多是对这位末代皇帝的同情，还有艳慕。。。好喜欢大被同床的双飞镜头。,2009-03-18 15:52:04,allstar50 rating,9014
单线程青年,看过,不偏袒的好片儿！一个进自己原来的宫殿还要买票的皇帝。,2008-03-24 09:06:17,allstar50 rating,7664
托尼·王大拿,看过,"尽管看一群中国人在屏幕上讲英语很是奇怪，但不能否认这是部出色的电影：它与国家无关，与王朝无关，这只是一个渴望自由却不得的人的编年史；""门""的意象被反复提及，寓意溥仪被禁闭的一生；贝托鲁奇娴熟的运镜，要人命的广角自然光，美妙的配乐。",2011-03-21 16:43:30,allstar50 rating,5157
夏日扬帆,看过,实在是太好看了，从演员到光影到配乐到无处不在的隐喻。小人物在大历史的洪流中没有什么还手之力，我以为溥仪会被文革批斗死，还好还好，这部电影能在88年前拍完也是万幸了,2016-02-17 20:41:07,allstar50 rating,2
小嶋さとこ,看过,年年岁岁花相似，岁岁年年人不同。皇宫还是那个皇宫，你已不是那个你。,2010-01-22 19:14:28,allstar40 rating,0
Caramel_Grace,看过,记2018.01c重温。惊叹贝托鲁奇的叙事技巧，能把这样复杂的时代和人物呈于画面，大师级别。,2009-11-17 10:59:59,allstar50 rating,0
翻牙膏。,看过,虽然电影很出色，但是看着穿着古代衣服说着流利的英文的中国人真的很奇怪....因为这个还是减一星...什么时候中国人自己也拍一部这么地道的？,2011-08-25 13:59:26,allstar40 rating,0
铲铲,看过,一个人的一生，也是这个国家经历最大变化的时候。生不逢时。有好几处想要落泪，真是说不尽的国恨家仇，人间惨剧。,2018-06-08 01:34:35,allstar50 rating,4
慌张肥兔,看过,不管是清朝的宣统皇帝，满洲国的傀儡还是解放后的战犯，溥仪终究如Johnston所说只是the loneliest boy in Forbidden City。即使他平庸无能还空有野心，永远看不清时势，我也很难blame一个生命的前十八年都被幽禁在紫禁城的高墙之内的后主，也可能正因为如此，溥仪一生都注定是政权更迭的囚犯与牺牲品。贝托鲁奇对中国近代史的描写可以说是出神入化，虽然是西方视角却带着东方神韵，即使是中国导演也很难把溥仪的一生描绘的比他更传神。【219mins】9.7/10,2020-08-07 14:48:17,allstar50 rating,2
浴巾小狼,看过,画面美得不用说。电影没有在讨好任何意识形态，而是很细腻地关注那个在大浪潮下的无奈挣扎并且妥协的男孩子。尤其被最后那句prove it感动得一塌糊涂。紫禁城对他是一个想逃却挥之不去的失乐园。,2013-01-11 01:19:18,allstar50 rating,0
若焉,看过,"逃的过军阀割据，逃的过列强侵略，也逃不过祖上挖坟，逃不过文化革命，即使你是天子，又能如何。
",2010-11-01 10:19:24,allstar50 rating,0
邝子约,看过,“开门”的强烈隐喻和天然的转场作用，蝈蝈和溥仪的对照，耗子对命运的隐喻，妖怪般拿着望远镜的老女人的阴魂不塞，口欲期的滞留，溥仪新婚夜嘴上的口红印。影片把溥仪塑造成一个身心命全被阉割了的悲剧形象，使他成为窥探一个被阉割时代的孔隙。最赞的是一个仿旧版人民币构图的镜头。,2015-02-11 19:45:16,allstar50 rating,1
叶藏.!!张寄奴,看过,一开始觉得说英文很怪，但看下来实在是很经典的电影,2011-01-21 11:03:42,allstar50 rating,1
霍鳷,看过,"很震撼。和《霸王别姬》很像，又很不像。前者个人被放大了，历史不过是模糊的背景；而后者个人被缩小了，历史的变迁更为显眼。前者令人哀伤，后者则更为平和。
电影中的溥仪是了不起的人。历史动荡，而他始终竭力保持体面。不知最后是不是死于文革。
以及，年轻的陈冲好美啊！",2017-01-08 02:24:50,allstar50 rating,2
东宝株式会社,看过,溥仪的一生被娓娓道来，以一种西方式的观点。影片近乎完美，惟有两点有些许不适应，一是全片的英文对白，二是尊龙版的溥仪会不会太帅了点？,2011-11-25 13:05:50,allstar50 rating,0
仍安,看过,贝纳尔多于去年谢世，恐怕再难看到这样好的传记片了。半生皇帝，半生傀儡；半生呼风唤雨，半生受制于人；半生困于紫禁，半生漂泊无依。溥仪是幸福的，既当了皇帝又当了犯人，此等人生经历无人能敌。溥仪又是悲剧性的，国破家亡，历经战乱，没有子嗣，妻妾也离他而去。经历了中式和西式的教育，穿过了西装革履，也穿过龙袍，是溥仪的同时也是Henry。影片结尾，不禁感慨：一朝天子一朝臣，人民永远都是政府的奴隶。,2019-11-18 23:34:39,allstar50 rating,3
冰镇西瓜橘子水,看过,小皇帝 少年皇帝 青少年皇帝三个演员选的太好了 she is my butterfly,2017-07-05 00:06:20,allstar50 rating,1
仰面趴着,看过,看的是英文版，总感觉别扭。西方视角审视封建个体的悲剧命运难免带有帝国主义的意识形态，在“孤独的君主”上表现力度不够……或许一个中国导演更能把握这种幸与不幸、自傲与自卑、愤怒与妥协交织的皇族冷暖人生。另，美工真是棒极了。！,2011-02-13 22:24:48,allstar40 rating,0
北风炸弹,看过,六年前想看的电影，因为那时候朋友描述了溥仪买了票走进自小长大的紫禁城、张望着四处无人偷偷越过封锁线坐上王座的画面。溥仪在每个时代里都像小丑，他向往改革和进步，他要独立和复辟，他是善良的，但每一个时代他都无法改变丝毫，他只是一个徒具身份的空壳，只能一次次无力地屈服、破灭天真的幻想。他是一个重要象征，一辈子都是傀儡；直到新中国成立，他不再重要了，他在“革命到底”的人潮里惊恐地发现他仍然是傀儡，每一个人都是时代的傀儡。溥仪身上有一种贯彻始终的天真，正是这种天真带来了巨大的落差和讽刺。直到他驼着背、脏兮兮颤巍巍地走上昔日的王座，从王座后面拿出一个陈旧的蛐蛐罐。管理员的儿子打开盖子，一只蛐蛐从里面爬出来，而溥仪不在了。,2020-02-20 12:11:24,allstar50 rating,2
null,看过,溥仪永远失去了中国，中国永远失去了1987年。溥仪是幸福的，他只要买票，就能回到太和殿，回到从前。,2019-09-06 20:55:08,allstar50 rating,4
白得,看过,行将就木的慈溪拉着老长的鸭公嗓对溥仪喊：c～o～m～e～～h～e～r～e～～～这种事，能忍么！？能忍么！？,2014-01-09 09:45:16,allstar10 rating,3
lily,看过,外国人眼中的中国历史。想到了之前看过的一部关于溥仪的电视。20111021,2011-10-21 23:41:18,allstar50 rating,0
筷喜旺,看过,家道中落第一人。也就被无奈哭了108遍吧,2017-07-10 17:25:58,allstar50 rating,5
HerzHan,看过,某组织的教科书上关于溥仪的形容词只有寥寥 傀儡 复辟 懦弱 但作为中国最后一个封建王朝的皇帝 可想而知他的境遇及人生远不止如此 而其中心知肚明的原因也是这部奥斯卡最佳影片非中国人拍出来的原因 光影 音乐 美术都是十足经典 细节出彩 作为一个皇帝 溥仪却沦为权利的牺牲品,2013-06-08 11:18:22,allstar50 rating,4
墨雨花,看过,重温！不得不佩服贝托鲁奇的勇气，他太喜欢拍摄这种与世不容的异乡人了，他们被历史的洪流席卷，却无法把握自己的命运，影片将大量笔墨花在了溥仪青少年时代的孤独的紫禁城岁月，对满洲国和文革时期更具戏剧性的情节简要带过，“门”的隐喻贯穿始终，其史诗性叙事对中国电影也是影响甚大。,2017-05-21 22:58:50,allstar40 rating,2
Vermouth .,看过,88年60届获奖最佳影片、最佳导演、最佳艺术指导-布景、最佳音响、最佳改编剧本、最佳服装设计、最佳剪辑、最佳原创配乐、最佳音响/强大，竟然还会有想哭的情绪，“老头逛故宫”那段也太叫人唏嘘了……,2011-09-23 13:01:55,allstar40 rating,0
陈浩,看过,为了迎合西方而说英语 不得不说是一大缺憾 但仍不妨害它的艺术成就,2009-04-17 01:02:31,allstar50 rating,0
Rolo,看过,观众退场，帷幕落下，演员在舞台上。洪流和寂寞都像蝴蝶一样，轻轻小小，最后不过万卷史书上的一撇。无数次想起北岛的《青灯》：你和中国一起老去，长廊贯穿春秋，大门口的陌生人，正砸响门环。,2018-10-21 16:37:25,allstar50 rating,2
Anson,看过,他一生都在询问“我是谁”，却一生都是别人告诉“你是谁”。他一生扮演了很多角色，皇帝，绅士，情场高手，歌唱家，政客，犯人，花匠，却不知道哪个才是真正的“他”。人生的大起大落，最终化作影片最后的那只蛐蛐，它象征故事的再循环。,2019-01-01 22:07:02,allstar40 rating,1
留白也精彩,看过,几乎还原了中国《末代皇帝》的一生，竞然是一个外国导演拍摄的，很有点意外啊！,2016-05-31 16:27:35,allstar50 rating,5
三十,看过,加长版。一向吃不消里恩式“史诗”，然而这部宏大的历史/传记电影的中心围绕的却是一个佛系的、甚至可以说没有太大抱负的失败者、徒劳的一生。对于许多人的启蒙电影而至今才看可能也是以前觉得太难以咀嚼。有太多的西方视角，从约翰顿的导师开始，包括那个雾蒙蒙镜头下的乳房，大半的推进都是以西方价值观为动力。哪怕镜头下的北京城和满洲国极美，本质上真的如Thomson独到概括——“tourist cinema”（游客电影）。作为艺术电影，其中直扑而来的精良艺术感使人愉悦，从远景沧海一粟的恢宏感到细节、调度、运镜、前后景衬托配合、戏剧安排的用功推敲，不得不佩服贝托鲁奇以及他一众合作者的艺术造诣，借他们浪漫之眼从另一个角度反观自己习惯的语境。然而作为历史题材，仍觉得（所有此类）电影在尽可能复原所谓的历史的同时，也在放大自身与历史的失真感,2018-12-05 22:11:41,allstar40 rating,0
啄。,看过,曾经的紫禁城里最孤独的孩子。晚清。民国。伪满。中日。国共。文革。谁能遭遇更多。已然惯于面对三跪九叩，却不得与他的王朝休戚与共。全无自由，甚至无法在时代的夹缝里以帝王身份体面地死去。他选择过么。他抗争过么。真悲剧。,2010-04-11 19:41:16,allstar50 rating,1
Dolores,看过,这两天看它竟然是治愈系，我根本不是永远只能接受，能够选择就是我最大的自由啊原来。,2012-11-19 19:45:46,allstar40 rating,0
胡了了,看过,音乐太挠人了，Where is Armo那段直接泪崩。这部电影把无力感表现得很到位，令人神伤。我看完这部电影半天没缓过劲儿来。结尾张力很强，蛐蛐是神来之笔。,2017-12-19 14:23:59,allstar50 rating,3
玫瑰砂,看过,奇观化的即位、大婚场景，本质还是被西方人凝视的他者。不过是凝视得特别美。反而是这些说英语的演员更值得好奇。难以想象英若诚那个时候已经是现实中的文化部副部长了，而邬君梅才16岁。陈述的英文也好好呀，算是老上海口音么。腾讯的片源比优酷好。,2020-02-18 00:36:27,allstar40 rating,1
金刚大笑,看过,或许只有老外才能拍得这样沉郁而罗曼蒂克，就好像也只有溥仪的外国老师庄士敦是不杂私心地爱护他、尊重他。,2012-01-13 18:20:11,allstar50 rating,0
失火的夏天,看过,我真是不适合看传记类的电影 故宫里的光线和宫女脸上的厚厚白粉和鲜红的嘴唇 我都感 觉像是在拍恐怖片 = = 看了影评才知道这种光线的意义 真是有一种“连导演拍完电影以后还要去看豆瓣影评才知道自己拍的电影的意义所在”,2013-03-08 09:21:55,allstar40 rating,0
颜小颜,看过,看一群中国人在屏幕上讲英文很奇怪，但是还是无法否认呀，贝托鲁奇是一个很棒的导演。分寸感很好。演员也好，看到英若诚的时候就知道这片子质量有保证了，尊龙演溥仪也很妙。传记题材的东西最可贵的不是评判什么，而是把故事默默地摆在那里 然后你就知道，那个历史在。为结尾那一笑唏嘘不已。,2014-03-05 01:34:40,allstar40 rating,1
WW-Dolores,看过,这电影的确拍得很有历史真实感，那种历史的恐怖和阴森。电影的意义很宏大，据说是唯一一部在故宫拍摄的电影，很多镜头都让人觉得是真实的历史场景。历史的规律谁都不可逆，有时候又觉得只不过是成王败寇罢了。溥仪的一生真是波澜壮阔，颇具戏剧性。电影最后几个镜头感人至深，配乐也是无敌。,2018-07-27 13:40:15,allstar50 rating,1
阝可_钅冈,看过,一个意大利导演来重现近100年来中国近代史，以一个注定人生是个悲剧的末代皇帝的视角，他比很多现在的中国人理解这段历史透彻多了。但是听到满屏幕的中国人说着溜溜的英语感觉好奇怪。。,2012-05-17 17:01:07,allstar40 rating,1
金小神,看过,为啥中国的故事要让法国人来拍？给人的感觉：西方列强果然是救世主啊！,2009-11-16 02:06:26,allstar40 rating,0
imac,看过,2019补记：本片其实是一部主观电影，所有历史发生在记忆和叙述中。用这种方法，贝托鲁奇得以在“忠实历史”和“亲近观众”间游刃有余，但最终的取舍和实现，真是大师手笔。细节真实、大节不亏，中间的故事当然是导演和编剧的了。历史与现实的碰撞，其实发生在剪掉的那段，看上去歇斯底里的审讯者对狱长说：我的家人在满洲国被活埋，想给他们立块碑都找不到地方，怎么不激动？而溥仪不听劝阻投靠日本人，直接原因也是祖坟被挖。皇帝是人当然也会意气行事，但也是半神，这行为会让千百万人生不如死。当半神回归人间，面对自己造孽的结果时，如何自处？自己的种种痛苦折磨和千百万人的放在一起时，还能否自怜？,2007-11-21 13:44:33,allstar50 rating,1
刘浪,看过,看完了似乎明白了故宫为什么叫“forbidden city”。他的生命从那里开始也从那里结束，一生都在不同的围墙里困着。文革那段很可怕，改教他的人变成了批斗的对象，一切秩序都颠倒。蟋蟀象征如梦般的人生。,2012-08-19 22:41:10,allstar50 rating,1
yes girl,看过,中国人拍不出来这样的准确讲究写实。实际上外国人比中国人更懂什么是中国，中国是什么样的。因为流传，想像往往比被现实践踏的现实更接近真实它本来的样子！看到最后导游放着喇叭带人进来觉得极其羞辱！不可大声喧哗！当然愚蠢的喇叭也不应有！这片子揭露了那么多丑陋面目居然没被禁！可能以后会禁！,2013-01-17 01:10:35,allstar50 rating,0
罌至,看过,比陈凯歌更先看清中国历史里的伤痛和绝望的 显然是外国人 尊龙整个人都太哀伤了 每次看内心都隐隐作痛 这个国家本不该是现在这样,2015-02-04 14:49:47,allstar40 rating,2
Lynn,看过,此片虽长，但是两个多小时里包含了恋母，3P，女女，毒品，杀婴，私生子，自杀，谋杀等诸多元素，并且还附带说了说历史。⋯⋯原本觉得一部史片拍成这样真不像话，但是最后，看着溥仪佝偻着背走回紫禁城⋯⋯唉，拍成这样，也只能是因为他的人生太戏剧化了。,2012-02-02 20:58:31,allstar40 rating,0
riverday,看过,这个意大利人导演这段历史的角度好奇妙，尤其是前半部仪式感重到略有妖魔化嫌疑。观影全程被他托到一个高度听他把溥仪的一生极度客观地平铺直叙。且不说前无古人后无来者的拍摄过程，仅看三个小时里始终一致的基调和一层层剥不完的隐喻就知道是非常非常有诚意和厉害的电影。,2013-06-11 21:46:27,allstar50 rating,1
罗拉,看过,"最感动的在于，尊重历史和人物的复杂性，不做简单的道德审判。中国半世纪飘摇，那些红灯行绿灯停的颠倒时代都附其中。晚风拂柳笛声残，夕阳山外山。只要退得足够远，谁又不是岁月长河的一片孤舟。",2019-08-16 02:10:24,allstar50 rating,2
sandman,看过,"很真实很客观~很精彩

在一切的无可奈何和凄凉的最后，荒谬终于统治了中国

",2010-08-28 00:44:25,allstar50 rating,0
中年夏安,看过,和我年纪一样老的电影。西洋镜里看中国？看皇帝说英语实在是太怪异了。,2009-12-23 22:55:50,allstar40 rating,0
[已注销],看过,不错的传记片，认识了一个与历史教科书上不同的溥仪。,2011-10-08 14:41:49,allstar40 rating,0
纳穆卓可,看过,2013.01.22 本来是想给四星的，但是看到最后，溥仪买票回紫禁城、把那个蝈蝈笼给了小孩，红卫兵抬着毛主席像，就抑制不住给五颗星的冲动了,2013-01-23 10:17:51,allstar50 rating,0
乱世寻镇定剂,看过,没有不好，说不好可能是低估别国的能力，故意做得西方。溥仪是个好皇帝。,2009-10-09 16:58:40,allstar40 rating,0
